,review
0,Same as i ordered
1,really good 👍😊 ani I love the product . According to this price the product is very good ani very comfortable 👍
2,"i likedthe product 
can i get the same in white color"
3,hajur same huncha sir 
4,ramro xa product i like it
5,price and quality matched
6,price and quality matched 
7,"best product, i like it "
8,price = quality  
9,nice  
10,damage xa 
11,bad product such a waste of money 👎🏻 
12,don't  buy this this is nothing like as shown in the photo  complete scam if I find who sold this to me I will kill him
13,"all good 👍m size vaneko l size parexa
tei ho natra sab thik xa 
prize anushar ramro xa"
14,The product is very good the quality is superb.Is so thin and convenient to wear during summer and its actually affordable.just love this product 💐❤️
15,color vane jasto aayena nevublu vaneko drake blue chai aayexa😪😪🙄 
16,Beyond the expectation  
17,very bad experience  
18,"as mentioned lightweight, it's obviously not for winter if style properly this is good during autumn"
19,I thought it's thick double layer but when I got its totally thin only single layer.
20,price aanushar ramro cha
21,Thanks for your valuable feedback ❤️
22,"as shown in picture 
best for 🌞 summer
yo price ma jacket thik xa"
23,Good for the price but the front pocket are fake. 
24,"it's pretty  light  than I thought, but it's OK  "
25,superb product is tooo nive for that price  
26,"ok it's good price anushar thikai xa
 "
27,la dam ansar ko saman thikxa 
28,Not as expected but good  
29,ok according to price👍 
30,ramro lagyo 🤗 
31,good quality  
32,decent one  
33,it's good  
34,Not bad 👍 
35,Thikei xa  
36,Nice  
37,nice 
38,Nice 
39,"Helo

 "
40,Unexpectedly thin cha material. Not worth the buy. 
41,it's not like I how I expected  
42,packaging was good but I ordered xl thinking it would fit me but it is little oversized but love the product quality in this price range🤩🤩
43,black colour ko ramro xa gray colour ko chai ali ramro xaina
44,price anusr thikai xa ali baklo vako vaye thik huntjiyo
45,very good to wear in summer and fits well
46,very good to wear in summer and fits well 
47,gray colour ko tatei ramro xaina 
48,Maile bike chalauda lagauna lagi kineko ho. Paisa anusar ramro xa. Summer ko lagi best xa. Vitra Coat lagayera bahira yo lagauna kineko comfortable xa. 
49,The product was more good and the material was also very nice. In this price such a good product i got it & love it. Thnx alot for delivery in time. 
50,"The fabric is thin, perfect for morning and evening walks. 
XL just fits me. Usally I waer L.
For a lot of people, it might be small. 
 "
51,quality ekdam ramro xa Hai Tara size aalie thulo lani layaunu paryo Hai Saman ekdam ramro lagyo  
52,Silver color ma chai size thikai lagyo compare garda black color sanga  
53,how to got refund i aint not satisfied with this  iwant my refund 
54,"nice products I like this 
you can also buy this jacket  "
55,ramro cha  and also delivery pani time ma nai vayo  
56,paatalo xah garmi ghar bassda thikka hunxah 
57,it is so much long and quality is not good 
58,fast delivery and the quality was good 😊  
59,Low quality. Please don’t order next time  
60,samaan thikai xa kaile Kai lagauna lai  
61,quality ramro xa aani reasonable pani❣️ 
62,over na ramroo plastic jasto theo 😡😡 
63,Kun colour vaneko Kun pathau xaa 👎🏽 
64,Quality is good but size not fit🥺 
65,Best quality in this price range  
66,it's not that good seen as photo 
67,nice one . worth every penny..  
68,This product didn't sitisfy me  
69,"dekheko jasto na hudo raicha..
 "
70,Socheko vanda sano aayo size  
71,"Value for money product
 "
72,the product is too good  
73,it's good 👍 satisfied  
74,good service 👍 5💫💫💫 
75,babal lagyoo dress🌸🫶 
76,fully satisfied 😊 
77,Tik xa ramro xa 👍 
78,fully satisfied  
79,return garna pareo  
80,"good quality 
 "
81,ramro xa 😊 
82,Well nice  
83,goooood 
85,good  
86,good 
87,fine  
88,Not bad👌 
89,Ramro xa 
90,not bad. 
92,Very nice 
93,"First I ordered Navy Blue XL size and after 2days they called me and said navy blue of my size was out of stock and I had to order black or gray and I chose gray. 
I don’t know what to say about the seller. But product quality is nice "
94,not good I got regret after buying this  
95,Size and Color not up to mark 
96,good 👍👍 
97,Very thin not worth it. 
98,rain coat jastai xa 
99,good but color not same
100,ke khalko ho yo jacket Kati patalo photo ma arkai pathaune arkai
101,Price anusar quality ramro xa malai chai man paryo.⭐️⭐️⭐️⭐️⭐️
102,size match garena kasari exchange garna sakinxa hola?
103,sir Malai yo Saman man parena return garnu parxa 
104,"thik x tara size chai ek step sano aatheo
 "
105,Very awesome product  
106,best quality  
107,perfect as my expectation  
108,ramro lagyo  
109,good product 
110,Its alright 
111,"Nice
Brother loves it. "
112,not bad 
116,Medium  
118,"average 
very thin fabric  "
119,very bad quality 😡 plzz don't buy this type of items .. 
120,sticking wasn't nice and relieved wrong color and size 
121,250 ma aucha hai yo ta 
122,Bakwash 
123,"it was worth the price, recommended"
124,really good for the price
125,Good product
126,good
127,Good 
129,its like a raincoat 🤣 
130,ok first of all seller is too good. expected time Vanda ni agadi send grdinuu vayoo on request. kapda ni not too bakloo but  normal fleece  vakoo raixaa like a sweatshirt but overall it's good
131,"soft but quite thin, xl size dherai thulo hola socheko tara lauda thikka matra vayo. for me, it's ok 👍 👍"
132,dekhaye KO jasto xain Kati patlo X ni man paren Saman .Saman Pani difornt x return plese
133,it's good but u can find better in local market
134,"Reasonable price, Reasonable product❤️"
135, according to price its ok ☺️ 
136,Satisfied 👍 
137,Thikai chha. Photo ma jasto chai chhaina but not bad. Jado ma jacket bhitra launa milchha 
138,"not thin not thick,it's simple and ok nyano cha 650 price range ma. I really liked it. you can also buy without any hesitation. delivery pni chittai bhayo❤️ "
139,suna Pani dherai time lagena ani ramro ra nyano ni xa tihar KO Bela Laguna perfect xa❤️ 
140,This was my second order to this product ekdam ramro lyo Thankyou so much❤️ 
141,"warm and cozy, value for money. exceeded expectations. "
142,damage pathai dinu vaxa ani dherai patlo pani xa  
143,dami xa price anusar dhukka le kinda hunxa 
144,"don't expect too much but worth of money 
 "
145,"warm and comfortable, value for money. "
146,ramro xa quality dukka le kinda hunxa 
147,its okay according to price loved it 
148,ramro xa summer ma ni milx lagouna❤️ 
149,Good Product According to the Price 
150,dakhako jasto xaina  chita bujana 
151,Nice product according to price☺☺ 
152,good product with best price 👍 
153,Good quality in cheapest price  
154,Fast delivery and nice product 
